C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/MultiProgExponents.py
32768
         10800 function calls (10513 primitive calls) in 0.098 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 abc.py:298(SourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:30(Finder)
        1    0.000    0.000    0.000    0.000 abc.py:345(ResourceReader)
        1    0.000    0.000    0.000    0.000 abc.py:50(MetaPathFinder)
       10    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 abc.py:87(PathEntryFinder)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:28(BZ2File)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.013    0.013 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:114(_ConnectionBase)
        4    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       12    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
       24    0.000    0.000    0.000    0.000 connection.py:158(readable)
       24    0.000    0.000    0.000    0.000 connection.py:163(writable)
       12    0.000    0.000    0.000    0.000 connection.py:168(fileno)
        1    0.000    0.000    0.000    0.000 connection.py:268(PipeConnection)
        1    0.000    0.000    0.000    0.000 connection.py:348(Connection)
        1    0.000    0.000    0.000    0.000 connection.py:422(Listener)
        2    0.000    0.000    0.000    0.000 connection.py:525(Pipe)
        1    0.000    0.000    0.000    0.000 connection.py:569(SocketListener)
        1    0.000    0.000    0.000    0.000 connection.py:629(PipeListener)
        2    0.000    0.000    0.000    0.000 connection.py:69(arbitrary_address)
        1    0.000    0.000    0.000    0.000 connection.py:755(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 connection.py:777(XmlListener)
       12    0.000    0.000    0.000    0.000 connection.py:946(reduce_pipe_connection)
        2    0.000    0.000    0.015    0.008 context.py:109(SimpleQueue)
        1    0.000    0.000    0.031    0.031 context.py:114(Pool)
        4    0.000    0.000    0.000    0.000 context.py:186(get_context)
        2    0.000    0.000    0.000    0.000 context.py:196(get_start_method)
        1    0.000    0.000    0.000    0.000 context.py:232(get_context)
        3    0.000    0.000    0.000    0.000 context.py:248(get_start_method)
        3    0.000    0.000    0.010    0.003 context.py:319(_Popen)
       30    0.000    0.000    0.000    0.000 context.py:346(get_spawning_popen)
        6    0.000    0.000    0.000    0.000 context.py:349(set_spawning_popen)
       12    0.000    0.000    0.000    0.000 context.py:352(assert_spawning)
        2    0.000    0.000    0.001    0.000 context.py:64(Lock)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:14(AbstractContextManager)
        1    0.000    0.000    0.000    0.000 contextlib.py:164(_AsyncGeneratorContextManager)
        1    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(closing)
        1    0.000    0.000    0.000    0.000 contextlib.py:301(_RedirectStream)
        1    0.000    0.000    0.000    0.000 contextlib.py:319(redirect_stdout)
        1    0.000    0.000    0.000    0.000 contextlib.py:335(redirect_stderr)
        1    0.000    0.000    0.000    0.000 contextlib.py:34(AbstractAsyncContextManager)
        1    0.000    0.000    0.000    0.000 contextlib.py:341(suppress)
        1    0.000    0.000    0.000    0.000 contextlib.py:371(_BaseExitStack)
        1    0.000    0.000    0.000    0.000 contextlib.py:467(ExitStack)
        1    0.000    0.000    0.000    0.000 contextlib.py:536(AsyncExitStack)
        1    0.000    0.000    0.000    0.000 contextlib.py:55(ContextDecorator)
        1    0.000    0.000    0.000    0.000 contextlib.py:685(nullcontext)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(_GeneratorContextManagerBase)
        1    0.000    0.000    0.000    0.000 contextlib.py:96(_GeneratorContextManager)
        2    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        3    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:458(lru_cache)
        1    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
        1    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        1    0.000    0.000    0.000    0.000 functools.py:763(singledispatch)
        2    0.000    0.000    0.000    0.000 functools.py:804(register)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.000    0.000 machinery.py:1(<module>)
       10    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        3    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        3    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
        3    0.000    0.000    0.000    0.000 ntpath.py:67(isabs)
        2    0.000    0.000    0.000    0.000 ntpath.py:75(join)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:194(ImpImporter)
        1    0.000    0.000    0.000    0.000 pkgutil.py:268(ImpLoader)
        1    0.000    0.000    0.004    0.004 pool.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:146(Pool)
        3    0.000    0.000    0.000    0.000 pool.py:152(Process)
