C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/DaskExponents.py
32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656
         278581 function calls (264419 primitive calls) in 1.080 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      128    0.000    0.000    0.001    0.000 cloudpickle_fast.py:666(__init__)
      128    0.001    0.000    0.107    0.001 cloudpickle_fast.py:676(_save_reduce_pickle5)
      256    0.001    0.000    0.015    0.000 cloudpickle_fast.py:697(save_global)
  384/128    0.001    0.000    0.111    0.001 cloudpickle_fast.py:733(save_function)
      128    0.001    0.000    0.120    0.001 cloudpickle_fast.py:90(dumps)
      412    0.000    0.000    0.000    0.000 config.py:40(canonical_name)
      398    0.000    0.000    0.001    0.000 config.py:437(get)
        1    0.000    0.000    0.000    0.000 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:114(_ConnectionBase)
        4    0.000    0.000    0.000    0.000 connection.py:117(__init__)
      512    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
     1024    0.000    0.000    0.000    0.000 connection.py:158(readable)
     1024    0.000    0.000    0.000    0.000 connection.py:163(writable)
      512    0.000    0.000    0.000    0.000 connection.py:168(fileno)
        1    0.000    0.000    0.000    0.000 connection.py:268(PipeConnection)
        1    0.000    0.000    0.000    0.000 connection.py:348(Connection)
        1    0.000    0.000    0.000    0.000 connection.py:422(Listener)
        2    0.000    0.000    0.000    0.000 connection.py:525(Pipe)
        1    0.000    0.000    0.000    0.000 connection.py:569(SocketListener)
        1    0.000    0.000    0.000    0.000 connection.py:629(PipeListener)
        2    0.000    0.000    0.000    0.000 connection.py:69(arbitrary_address)
        1    0.000    0.000    0.000    0.000 connection.py:755(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 connection.py:777(XmlListener)
      512    0.002    0.000    0.009    0.000 connection.py:946(reduce_pipe_connection)
        2    0.000    0.000    0.003    0.002 context.py:109(SimpleQueue)
        1    0.000    0.000    0.507    0.507 context.py:114(Pool)
        4    0.000    0.000    0.000    0.000 context.py:186(get_context)
        2    0.000    0.000    0.000    0.000 context.py:196(get_start_method)
        1    0.000    0.000    0.000    0.000 context.py:232(get_context)
      128    0.000    0.000    0.000    0.000 context.py:248(get_start_method)
      128    0.001    0.000    0.461    0.004 context.py:319(_Popen)
     1280    0.000    0.000    0.001    0.000 context.py:346(get_spawning_popen)
      256    0.000    0.000    0.000    0.000 context.py:349(set_spawning_popen)
      512    0.000    0.000    0.001    0.000 context.py:352(assert_spawning)
      128    0.000    0.000    0.000    0.000 context.py:59(__get__)
        2    0.000    0.000    0.001    0.000 context.py:64(Lock)
        1    0.000    0.000    0.000    0.000 contextlib.py:107(__enter__)
        1    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
        1    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
        1    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
      128    0.000    0.000    0.000    0.000 copy.py:111(_copy_immutable)
      128    0.000    0.000    0.000    0.000 copy.py:66(copy)
        2    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 core.py:115(<listcomp>)
